QcarIndex,PositionX,PositionY,PositionZ,RotationX,RotatinY,RotationZ
0,0,6,1.131,0,0,-3.14159265
1,8,6,1.131,0,0,-3.14159265
2,16,6,1.131,0,0,-3.14159265
3,24,6,1.131,0,0,-3.14159265
4,32,6,1.131,0,0,-3.14159265
5,40,6,1.131,0,0,-3.14159265
