0.000000000000000000e+00,2.804663762498911250e-01,2.115414473466497469e+00,1.450533253553592861e+00,-5.653171950362778642e-01,4.500000000000000111e-01,0.000000000000000000e+00
1.983888807385431052e-02,2.828465147974082439e-01,2.135110067402744782e+00,1.439317049587612640e+00,-8.490607596851514893e-01,4.500000000000000111e-01,-3.285258091316714868e+00
3.964206649256839243e-02,2.856623629648120111e-01,2.154712028390910028e+00,1.416895669928505352e+00,-1.133780178699924202e+00,3.200000000000000067e-01,-3.279045065507400381e+00
5.940599098214408014e-02,2.889106566715622937e-01,2.174207189309054211e+00,1.394455835891357465e+00,-1.141707413377464064e+00,3.200000000000000067e-01,0.000000000000000000e+00
7.912713947271819703e-02,2.925877685338929557e-01,2.193582496948913274e+00,1.371814786806073050e+00,-1.202533436706730852e+00,3.200000000000000067e-01,0.000000000000000000e+00
9.880377881588696398e-02,2.966969559361839481e-01,2.212825280394506322e+00,1.347081621285476594e+00,-1.346598319975278679e+00,3.200000000000000067e-01,-1.776356839400250465e-15
1.184524715171671044e-01,3.013107224477939439e-01,2.231924607174413655e+00,1.318862749474001506e+00,-1.475045602959854207e+00,3.200000000000000067e-01,-1.292801113232222576e-01
1.380888476072558158e-01,3.064883756117886549e-01,2.250866074215400303e+00,1.289134285694580440e+00,-1.508407582261140911e+00,3.149244055209284299e-01,-6.966261111481841795e-02
1.577118620815670946e-01,3.122213916094804254e-01,2.269632939287362650e+00,1.259641328652391978e+00,-1.493956505743393004e+00,3.172600442702036005e-01,1.197473349672257825e-01
1.773195442094784580e-01,3.184974619695058462e-01,2.288209056730607482e+00,1.230522993334469017e+00,-1.479556449759962922e+00,3.196221547611898806e-01,6.985501492663104273e-02
1.969091620442806612e-01,3.253014273748330853e-01,2.306579118833842479e+00,1.201644358514463162e+00,-1.474505152502091576e+00,3.200000000000000067e-01,9.639402704596733429e-03
2.164800405880799583e-01,3.326255597400095132e-01,2.324727848047578593e+00,1.172778627934712548e+00,-1.476121540945276589e+00,3.200000000000000067e-01,-5.951643572130294046e-03
2.360318613099777751e-01,3.404629755369824040e-01,2.342640095454495253e+00,1.143892539388983831e+00,-1.478678045560547938e+00,3.197673823786654768e-01,-1.903780468881599575e-02
2.555643250909269693e-01,3.488063837117474364e-01,2.360300918804026704e+00,1.114983593567767217e+00,-1.481773474815134328e+00,3.192561973176362144e-01,-4.707851660157125195e-02
2.750771566440152194e-01,3.576481038215998387e-01,2.377695589847717894e+00,1.086034298450585078e+00,-1.489850488082534508e+00,3.179300083018593015e-01,-1.515362510024793607e-01
2.945702820810994216e-01,3.669806615267249272e-01,2.394809482040507032e+00,1.056868650580572666e+00,-1.518278660100708333e+00,3.133486728961099033e-01,-3.166560160236073784e-01
3.140456412256539820e-01,3.768025450952361965e-01,2.411626741537107321e+00,1.026867591595584051e+00,-1.568345142418968718e+00,3.055933025292965066e-01,-3.420835016348853230e-01
3.335112406186927503e-01,3.871300519885614300e-01,2.428126807024813427e+00,9.957940922385792870e-01,-1.605878477854600694e+00,3.000265180679288490e-01,-1.403996826170201828e-01
