v_x,v_y,omega,delta
1.507286548614501953e+00,2.278034687042236328e-01,-1.406692981719970703e+00,2.987462878227233887e-01
1.498137950897216797e+00,2.326211929321289062e-01,-1.362621307373046875e+00,3.012889921665191650e-01
1.501051425933837891e+00,2.346291691064834595e-01,-1.469540357589721680e+00,3.038145005702972412e-01
1.495644569396972656e+00,2.388710677623748779e-01,-1.390876054763793945e+00,3.056814074516296387e-01
1.494037389755249023e+00,2.362055480480194092e-01,-1.273150205612182617e+00,3.075693547725677490e-01
1.486872076988220215e+00,2.416230142116546631e-01,-1.362607955932617188e+00,3.094917833805084229e-01
1.490577340126037598e+00,2.375984042882919312e-01,-1.230563640594482422e+00,3.109999895095825195e-01
1.486207127571105957e+00,2.406343519687652588e-01,-1.213612556457519531e+00,3.124641776084899902e-01
1.512369394302368164e+00,2.479911893606185913e-01,-1.371124744415283203e+00,3.134764432907104492e-01
1.481820821762084961e+00,2.150472700595855713e-01,-1.232744574546813965e+00,2.729996442794799805e-01
1.477594256401062012e+00,2.130681872367858887e-01,-1.450664281845092773e+00,2.694886922836303711e-01
1.484345793724060059e+00,2.089112102985382080e-01,-1.299775004386901855e+00,2.717138528823852539e-01
1.485393404960632324e+00,2.058503031730651855e-01,-1.282098889350891113e+00,2.740160822868347168e-01
1.478799343109130859e+00,2.076639086008071899e-01,-1.326696872711181641e+00,2.763453423976898193e-01
1.491146445274353027e+00,2.040421515703201294e-01,-1.363105297088623047e+00,2.785288095474243164e-01
1.486701726913452148e+00,2.076543867588043213e-01,-1.414142012596130371e+00,2.807706892490386963e-01
1.494471192359924316e+00,2.076381146907806396e-01,-1.386677265167236328e+00,2.829332947731018066e-01
1.494577527046203613e+00,2.093328237533569336e-01,-1.246093869209289551e+00,2.848881483078002930e-01
1.494850635528564453e+00,2.084386944770812988e-01,-1.264474034309387207e+00,2.866711318492889404e-01
1.503773927688598633e+00,2.072024792432785034e-01,-1.214971661567687988e+00,2.890499532222747803e-01
1.498640179634094238e+00,2.139801383018493652e-01,-1.455714106559753418e+00,2.908759713172912598e-01
1.502848148345947266e+00,2.169302552938461304e-01,-1.350494265556335449e+00,2.929064333438873291e-01
1.500854253768920898e+00,2.169673293828964233e-01,-1.162045955657958984e+00,2.944873571395874023e-01
1.499464154243469238e+00,2.196957916021347046e-01,-1.210310578346252441e+00,2.964141368865966797e-01
1.501316666603088379e+00,2.216804772615432739e-01,-1.307900786399841309e+00,2.979029119014739990e-01
1.508584260940551758e+00,2.214174717664718628e-01,-1.298158049583435059e+00,2.995309829711914062e-01
1.513780355453491211e+00,2.177672982215881348e-01,-1.200560569763183594e+00,3.011579215526580811e-01
1.510301947593688965e+00,2.254051566123962402e-01,-1.366951823234558105e+00,3.029533028602600098e-01
1.539351701736450195e+00,2.337771803140640259e-01,-1.097340941429138184e+00,3.040844500064849854e-01
1.501288771629333496e+00,1.943488270044326782e-01,-1.203252196311950684e+00,2.576689422130584717e-01
1.504728436470031738e+00,1.920889168977737427e-01,-1.166728496551513672e+00,2.542873024940490723e-01
1.507235527038574219e+00,1.938590109348297119e-01,-1.158381819725036621e+00,2.558172941207885742e-01
1.507515668869018555e+00,1.956717073917388916e-01,-1.291427731513977051e+00,2.574646174907684326e-01
