time_step,trust_sample,gamma_cross,gamma_local,v_score,d_score,a_score,beacon_score,final_score
0,0.3699584745358217,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.13686927288087222
1,0.22234133235058234,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.04943566807143211
2,0.15569264241769631,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.02424019890300465
3,0.1184735603725056,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.014035984507337729
4,0.09500242982825766,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.009025461673273021
5,0.07897798993897973,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.006237522894801583
6,0.06740661391946032,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0045436516000871814
7,0.05869455490472221,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00344505077546345
8,0.051919886881801186,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.002695674653819031
9,0.04651438803711358,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0021635882944671747
10,0.042109836919302854,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0017732383653702817
11,0.03845771623008033,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0014789959376333842
12,0.035384556954179525,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0012520668708435746
13,0.0327657947879033,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.001073597308082991
14,0.030509792666614816,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0009308474485598232
15,0.028547713281099715,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0008149719335798771
16,0.026826894843686708,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0007196822869542245
17,0.02530639824295052,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0006404137920308093
18,0.02395394111334601,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0005737912948616483
19,0.022743741503911674,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0005172777775967545
20,0.02165497227318773,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0004689378241525294
21,0.020670634235512853,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.000427275119698356
22,0.019776721898491362,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0003911187290502678
23,0.018961597158958954,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00035954216681864025
24,0.018215513114667452,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00033180491803062195
25,0.017530247782221644,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00030730958730608687
26,0.01689881933274733,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00028557009484083486
27,0.016315262515238835,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00026618779094115744
28,0.01577445151637845,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00024883332064257435
29,0.015271958423096813,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0002332327140767977
30,0.014803939241401156,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00021915661706309704
31,0.014367041432449048,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0002064118795217076
32,0.013958328389162132,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00019483493141968952
33,0.013575217353228223,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0001842865261873887
34,0.01321542807278147,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00017464753914686054
35,0.012876940101742972,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00016581558638387628
36,0.012557957096539672,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0001577022864385311
37,0.012256876812996337,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00015023102920896724
38,0.011972265773156883,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.0001433351477431038
39,0.011702837778634068,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00013695641207302474
40,0.011447435608459098,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00013104378200981732
41,0.011205015366126347,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00012555236935512756
42,0.010974633040661652,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00012044257037718243
43,0.010755432926132805,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00011567933742854167
44,0.010546637607637362,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00011123156482683073
45,0.010347539272924328,3.188074209950921e-47,0.4136178615307426,1.0,0,1.0,1,0.00010707156900471134
46,0.010157492150095648,3.8812358115952854e-47,0.4147126603736168,1.0,0,1.0,1,0.00010317464677925472
47,0.009975905905344768,4.4265720746350006e-45,0.4257580343243912,1.0,0,1.0,1,9.951869863229262e-05
48,0.009802239862013788,2.759208921511146e-40,0.44741244026591337,1.0,0,1.0,1,9.608390631245207e-05
49,0.009635997924630015,1.836622805879431e-35,0.4748395446251522,1.0,0,1.0,1,9.285245600347397e-05
50,0.009476724109989437,1.9078475204162862e-33,0.5032490763114486,1.0,0,1.0,1,8.980829985685508e-05
51,0.009323998602555936,2.7904302122577338e-34,0.5289891827542625,1.0,0,1.0,1,8.693694994046504e-05
52,0.009177434264048578,1.7774622067815265e-36,0.5502378917410367,1.0,0,1.0,1,8.422529967093287e-05
53,0.009036673537577396,3.10231744880839e-38,0.5673544687589787,1.0,0,1.0,1,8.166146862475157e-05
54,0.008901385695448513,1.2421405958968574e-38,0.5810046008532815,1.0,0,1.0,1,7.92346672991354e-05
55,0.008771264387100935,1.471528468310081e-37,0.5915199308868825,1.0,0,1.0,1,7.693507894842514e-05
56,0.008646025449811238,2.266341718316107e-35,0.5991555408261818,1.0,0,1.0,1,7.475375607878363e-05
57,0.008525404950010545,1.1062114558433582e-32,0.6040395382739369,1.0,0.012456487709581965,1.0,1,7.26825295616643e-05
58,0.008409157427465397,5.0268478384281676e-30,0.6063281698560933,1.0,0.09729677853989271,1.0,1,7.071392863989645e-05
59,0.013379058846639633,1.1346727573178221e-27,0.6060818451493102,1.0,0.1778209031242335,1.0,1,0.0001110067779784997
60,0.0181865925552174,1.099633756365141e-25,0.6033693466371449,1.0,0.25459433580083246,1.0,1,0.00014892787016731305
61,0.022850500076027472,4.589037597147888e-24,0.5982617789362962,1.0,0.3283300918447307,1.0,1,0.00018473356979537445
62,0.03230401850800217,8.945885474912716e-23,0.5908364457586552,1.0,0.39944972777506116,1.0,1,0.00025790076131467014
63,0.04154594284944406,8.921396550731347e-22,0.5811382571503892,1.0,0.4685116630518463,1.0,1,0.0003276325701799319
64,0.05062357604537737,8.231756065720679e-21,0.569345888822791,1.0,0.5353192889029059,1.0,1,0.0003944447503264699
65,0.059579679547643274,1.2839177404127216e-19,0.5557121095753225,1.0,0.5997883205869725,1.0,1,0.00045879139906470083
66,0.07343409889140924,4.2224423495578005e-18,0.5403956538274288,1.0,0.6623869394234254,1.0,1,0.0005589898492155089
67,0.08725133737559553,2.5110272915055367e-16,0.5237805107615673,1.0,0.7229568513917165,1.0,1,0.0006567033330535478
68,0.101118378217192,1.9078562748139494e-14,0.5063152364580484,1.0,0.7814032717421422,1.0,1,0.0007526913185335157
69,0.11511999868866356,1.3109363049695028e-12,0.4882615942855858,1.0,0.8381047388850166,1.0,1,0.0008476623541358709
70,0.13488207024822446,6.296019711546831e-11,0.4694543952599513,1.0,0.8940851474501018,1.0,1,0.0009826623773143116
71,0.15512535978215106,1.85285445312497e-09,0.45025675719463853,1.0,0.9491743067282088,1.0,1,0.0011184092432133274
72,0.17603539373261423,3.244856979405977e-08,0.4305912478693773,1.0,0.9960929782158737,1.0,1,0.0012562409132440228
73,0.1978116600306118,3.573653902099938e-07,0.41074894378215826,1.0,0.9418445035256673,1.0,1,0.0013975404173339593
74,0.2206728783213863,2.6208075763776254e-06,0.39416229618849513,1.0,0.8883337229643369,1.0,1,0.0015437717033516124
75,0.23718302628538918,1.32889416503532e-05,0.41131035473659167,1.0,0.8353210165935447,1.0,1,0.0016433082740940639
76,0.25471326202940237,5.102505658000386e-05,0.42842466870769175,1.0,0.7824889082484783,1.0,1,0.001748097761978708
77,0.27338482494992283,0.00015671805377658372,0.44538420060792056,1.0,0.7295722263299385,1.0,1,0.0018588420678851774
78,0.29332425714705557,0.0003991614928660299,0.46208315513032455,1.0,0.6770081460507645,1.0,1,0.001976255502065304
79,0.3031778853771949,0.0008569768406882893,0.4783829920349984,1.0,0.6247204060266569,1.0,1,0.002024373861005356
80,0.3136658809849291,0.0015840808737887435,0.49414602109201017,1.0,0.572340980178641,1.0,1,0.0020760015999698694
81,0.32476057284784116,0.002598008801099219,0.5092661675434237,1.0,0.5198925578431846,1.0,1,0.0021308758009382037
82,0.33641241181498227,0.003905706665787861,0.5236411529211995,1.0,0.4675038129684339,1.0,1,0.0021886015910731913
83,0.3485462565392868,0.005518082741031305,0.537160514502181,1.0,0.41516605014648045,1.0,1,0.0022486334592517723
84,0.3413128805896466,0.007368480303147112,0.5497181899053829,1.0,0.3627399883377662,1.0,1,0.002183918748328844
85,0.3340152018563449,0.009347517983080332,0.5612264257292886,1.0,0.31033771659510534,1.0,1,0.0021200005504494073
86,0.3268060580839103,0.011274247912155132,0.571592040660117,1.0,0.25793800348079343,1.0,1,0.0020578068650377365
87,0.3198246964679557,0.013006797169766377,0.5807311876639879,1.0,0.20553412415920447,1.0,1,0.0019981523978897025
88,0.31318680495856493,0.014453556228223587,0.5885712122689315,1.0,0.1531325845042395,1.0,1,0.0019416817223911309
89,0.27904788286933696,0.015549040938850353,0.5950496779731258,1.0,0.100741712168678,1.0,1,0.00171698209507665
90,0.24801024333803853,0.01630009288896305,0.6001151930635406,1.0,0.048348605910211506,1.0,1,0.0015146846433627527
91,0.22036940974587804,0.016734087985827636,0.603732457947266,1.0,0,1.0,1,0.0013360456461461855
92,0.19610333176105793,0.01688505195567904,0.605875469456647,1.0,0,1.0,1,0.001180382861765135
93,0.1749928362679617,0.01677620941310259,0.6065275342686762,1.0,0,1.0,1,0.001045864589313167
94,0.15671977682047172,0.01642856083088979,0.6056828773933419,1.0,0,1.0,1,0.0009301316213025049
95,0.1409342966580497,0.01592440134039137,0.6033498150865423,1.0,0,1.0,1,0.0008307105403785128
96,0.1272949721351118,0.015284363129784397,0.5995454482821323,1.0,0,1.0,1,0.0007452510658901584
97,0.11548943143316465,0.014503592736739231,0.5942947082492911,1.0,0,1.0,1,0.0006716403190172786
98,0.10524258191644356,0.012987273364076667,0.5876358649462683,1.0,0,1.0,1,0.0006080411453528391
99,0.09631774393736522,0.009705654598239149,0.5796203327698998,1.0,0,1.0,1,0.0005528884647760974
100,0.0885141569598623,0.004979099642783695,0.5703086125950333,1.0,0,1.0,1,0.000504865322485544
101,0.08166293443227798,0.00147366971617824,0.5597732182880195,1.0,0,1.0,1,0.0004628712897305889
102,0.07562261939858803,0.00023230194063150424,0.5481103579216222,1.0,0,1.0,1,0.00042599000126281944
103,0.07027492599087273,1.939849379664566e-05,0.5354268142363119,1.0,0,1.0,1,0.0003934591025101878
104,0.0655209252932733,8.504777252983658e-07,0.5218432922378262,1.0,0,1.0,1,0.00036464390454254514
105,0.06127775658449118,2.1648141896943717e-08,0.5074601584546994,1.0,0,1.0,1,0.0003390150061492859
106,0.057475855215028626,3.540198554543367e-10,0.49236891941072536,1.0,0,1.0,1,0.00031612964275441784
107,0.054056647934384354,4.155119954864338e-12,0.47666545849325154,1.0,0,1.0,1,0.0002956163180305779
108,0.050970652489960515,3.201674975981148e-14,0.4604456449553486,1.0,0,1.0,1,0.00027716222379805123
109,0.04817591767628675,1.4508888888000764e-16,0.4437881638997457,1.0,0,1.0,1,0.00026050297730287526
110,0.04563674547271788,3.0998627390389108e-19,0.42678688950481464,1.0,0,1.0,1,0.00024541425915102877
111,0.043322644611750866,3.0475573386967613e-22,0.4095451664068034,1.0,0,1.0,1,0.00023170499781474685
112,0.04120747292042978,1.5593294498553634e-25,0.39217911323343263,1.0,0,1.0,1,0.00021921180704643882
113,0.03926873317301123,4.4751001098476e-29,0.3747788279936121,1.0,0,1.0,1,0.00020779443623652306
114,0.037486993638491305,6.273370220142356e-33,0.35741922494614686,1.0,0,1.0,1,0.0001973320394047828
115,0.03584540993693753,3.2221456480674745e-37,0.34019482676736584,1.0,0,1.0,1,0.0001877201063164745
116,0.034329329300205796,7.899278419768231e-42,0.323179328525674,1.0,0,1.0,1,0.0001788679300096829
117,0.032925961983890494,9.016569358808021e-47,0.3064576440390747,1.0,0,1.0,1,0.0001706965098557187
118,0.03162410752836261,4.130733198425323e-52,0.29009081775479906,1.0,0,1.0,1,0.00016313680918110198
119,0.03041392594044433,1.00206091153326e-57,0.2741349358138055,1.0,0,1.0,1,0.00015612830238157
