time,timestamp_ns,target_id,dt,measurement_used,measurement_source,measurement_confidence,measurement_age_s,measurement_distance,measurement_relative_velocity,v2v_fallback_distance,v2v_fallback_relative_velocity,distance_error_vs_v2v,relative_velocity_error_vs_v2v,host_velocity_input,target_acceleration_input,delta_hat,delta_dot_hat,delta_ddot_hat,f_c_hat,w_0,w_1,w_2,w_3,host_state_0,host_state_1,host_state_2,host_state_3,host_state_4,target_state_0,target_state_1,target_state_2,target_state_3,target_state_4,gain_K_0_0,gain_K_0_1,gain_K_1_0,gain_K_1_1,gain_K_2_0,gain_K_2_1,gain_K_3_0,gain_K_3_1,gain_L_0_0,gain_L_0_1,gain_L_1_0,gain_L_1_1,gain_L_2_0,gain_L_2_1,gain_L_3_0,gain_L_3_1,gain_N_0_0,gain_N_0_1,gain_N_0_2,gain_N_0_3,gain_N_1_0,gain_N_1_1,gain_N_1_2,gain_N_1_3,gain_N_2_0,gain_N_2_1,gain_N_2_2,gain_N_2_3,gain_N_3_0,gain_N_3_1,gain_N_3_2,gain_N_3_3
0.0,1.7767013256661965e+18,0.0,0.010550498962402344,1,yolo_car_dist,0.8406940103769304,0.001002752,1.2399999737739562,0.0,1.514303272874356,-0.004720725148563399,-0.27430329910039974,0.004720725148563399,0.004720725148563399,0.0,0.6199689884375564,0.006199689884375656,-0.6199689884375613,6.642524876116728,0.6199999868869781,2.449363231154723e-20,0.6199999868869781,-19.057070379858885,-1.4911853511423712,-0.26359182608038,-0.7019455093402378,0.004720725148563399,-6.944131862089327e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0096336,1.77670132567583e+18,0.0,0.010636329650878906,1,yolo_car_dist,0.8406940103769304,0.010636288,1.2399999737739562,0.0,1.5143086518554998,-0.0033818192803588033,-0.2743086780815436,0.0033818192803588033,0.0033818192803588033,0.0,1.2399689753245347,0.006199689884375656,3.099844941678587e-05,-12.414545503742158,0.6199844876622672,-0.0031001549266820223,0.620015486111692,-14.523929133410894,-1.4911917783466473,-0.2635863677730414,-0.7020054876131123,0.0033818192803588033,6.944131862089383e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0207274,1.7767013256869238e+18,0.0,0.010589361190795898,1,yolo_car_dist,0.8406940103769304,0.021730048,1.2399999737739562,0.0,1.5143186606467347,-0.0003218666267357424,-0.2743186868727785,0.0003218666267357424,0.0003218666267357424,0.0,1.2399534760998236,0.0030995349576936333,4.6497674130674405e-05,-7.881404257294165,0.619999985724517,-0.0030997674421896363,0.6199999880494422,-13.419133589380534,-1.4912037303608787,-0.26357625185270434,-0.7011985750084548,0.0003218666267357424,-6.944131862089327e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0313753,1.7767013256975718e+18,0.0,0.010140180587768555,1,yolo_car_dist,0.8406940103769304,0.032378112,1.2399999737739562,0.0,1.5143256908063423,-7.736005680908004e-05,-0.27432571703238606,7.736005680908004e-05,7.736005680908004e-05,0.0,1.2399689741620734,0.0030999224421860193,3.099961188091083e-05,-6.776608713263806,0.6199999849495847,-0.003099844959624432,0.6199999888243743,-13.419567786633591,-1.4912121551861826,-0.26356897780483657,-0.7017234710585036,7.736005680908004e-05,6.944131862089383e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.042549,1.7767013257087455e+18,0.0,0.011181354522705078,1,yolo_car_dist,0.8406940103769304,0.043551744,1.2399999737739562,0.0,1.5143370621920955,0.0031088828586585725,-0.2743370884181393,-0.0031088828586585725,-0.0031088828586585725,0.0,1.2399689733871413,0.0030998449247512236,3.10003868130293e-05,-6.777042910516863,0.619999985337075,-0.0030998449479989957,0.6199999884368841,-13.422384951407162,-1.4912257429212934,-0.2635574350638266,-0.7014365361839605,-0.0031088828586585725,-6.944131862089327e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0531468,1.7767013257193434e+18,0.0,0.010596275329589844,1,yolo_car_dist,0.8406940103769304,0.054149632,1.2399999737739562,0.0,1.514345585238044,0.004893176284295759,-0.27434561146408787,-0.004893176284295759,-0.004893176284295759,0.0,1.2399689737746313,0.00309984493637666,3.09999993227672e-05,-6.779860075290434,0.619999985337046,-0.003099844949937319,0.6199999884369132,-13.423978076627,-1.491235921221258,-0.26354881671018715,-0.7015180195872475,-0.004893176284295759,6.944131862089383e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0638248,1.7767013257300214e+18,0.0,0.011179924011230469,1,yolo_car_dist,0.8406940103769304,0.064827648,1.2399999737739562,0.0,1.514351047228648,0.005445468558669056,-0.2743510734546919,-0.005445468558669056,-0.005445468558669056,0.0,1.2399689737746025,0.0030998449344383366,3.0999999351855045e-05,-6.7814532005102715,0.6199999853370557,-0.0030998449499369802,0.6199999884369035,-13.424471194036556,-1.4912424431858968,-0.26354329792931697,-0.7012631382177972,-0.005445468558669056,-6.944131862089327e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.073914,1.7767013257401106e+18,0.0,0.010593414306640625,1,yolo_car_dist,0.8267404327392579,0.0,0.6599999904632569,-7.741917390142063,1.5143540757610188,0.006109816667624513,-0.8543540852977619,-7.748027206809687,-0.006109816667624513,0.0,0.9499834813938807,0.00019999001062967524,-773.9017225218261,8285.022555701638,0.329999993681706,-7.745017235092,774.5217390109879,-21349.791500978015,-1.491246058167572,-0.2635402450740456,-0.7023180162568838,-0.006109816667624513,6.944131862089374e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0856148,1.7767013257518113e+18,0.0,0.010695219039916992,1,yolo_car_dist,0.8267404327392579,0.011700736,0.6599999904632569,-7.741917390142063,1.5143584381958777,0.007285755015248122,-0.8543584477326208,-7.749203145157311,-0.007285755015248122,0.0,0.659983489738531,-7.741717400131433,1.6500724882462237e-05,-13051.34447408234,0.3300053079364376,-7.743180086121671,774.5217336967336,-13820.361672225628,-1.4912512728640699,-0.2635358049987692,-0.7018159762226777,-0.007285755015248122,-6.944131862089352e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
0.0967943,1.7767013257629908e+18,0.0,0.011167049407958984,1,yolo_car_dist,0.8267404327392579,0.022880256,0.6599999904632569,-7.741917390142063,1.5143610650687485,0.007325775379676466,-0.8543610746054916,-7.749243165521739,-0.007325775379676466,0.0,0.6599888039932627,-7.739880251161105,1.1186470601387555e-05,-5521.914645329953,0.3299961235086637,-7.743180296394671,774.5217428811613,-13821.018008478446,-1.4912544074261174,-0.263533162483081,-0.7013587074384517,-0.007325775379676466,6.944131862089346e-05,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,-100.0,-8.3,1427.2,0.5,0.0,0.0,1.0,0.5,-100.0,-15.3,2757.1,2.499875006256591e-05,-0.00499950002499863,-4.999750012499188e-05,0.0,-0.004999750012499407,-9.99950002500416e-05,-4.999750012543713e-07,0.0,-2.4998750058569108e-05,0.004999500025036241,4.999750012590898e-05,0.0,1.1574107008934842,-357.22413750026817,6.156035741070083,0.0
