time_step,trust_sample,gamma_cross,gamma_local,v_score,d_score,a_score,beacon_score,final_score
0,0.3699584745358217,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.13686927288087222
1,0.22234133235058234,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.04943566807143211
2,0.15569264241769631,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.02424019890300465
3,0.1184735603725056,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.014035984507337729
4,0.09500242982825766,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.009025461673273021
5,0.07897798993897973,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.006237522894801583
6,0.06740661391946032,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0045436516000871814
7,0.05869455490472221,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.00344505077546345
8,0.051919886881801186,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.002695674653819031
9,0.04651438803711358,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0021635882944671747
10,0.042109836919302854,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0017732383653702817
11,0.03845771623008033,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0014789959376333842
12,0.035384556954179525,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0012520668708435746
13,0.0327657947879033,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.001073597308082991
14,0.030509792666614816,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0009308474485598232
15,0.028547713281099715,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0008149719335798771
16,0.026826894843686708,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0007196822869542245
17,0.02530639824295052,1.267303879931733e-47,0.19455667449811453,1.0,0,1.0,1,0.0006404137920308093
